Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
126,Йогурт,4811,642,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2011-06-17,2026-01-13,2.46,Refunded
127,Стейк,1988,159,Мясо,Идеален для перекусов между основными приемами пищи.,2007-05-12,2014-05-04,1.78,Out of Stock
128,Батат,8684,955,Овощи,"Отличается длительным сроком годности, что позволяет делать запасы.",2015-02-02,2028-01-13,0.54,Out of Stock
129,Тако с мясом,8064,12,Мясо,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1993-03-05,2020-02-07,3.63,Pending
130,"Специи (перец, куркума, зира)",5332,210,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1999-02-10,2027-08-15,2.84,Cancelled
131,Черешня,1813,256,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-08-11,2020-01-09,4.41,Awaiting Review
132,Биточки,3856,676,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",1997-01-02,2023-02-10,0.8,Delivered
133,Простокваша,6588,176,Молочные продукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2017-06-08,2018-03-12,2.05,Delivered
134,Смоленская,7341,682,Напитки,Подходит для использования в рецептах традиционной кухни разных стран.,2015-03-01,2019-10-06,3.18,Shipping
135,Безалкогольный мохито,4831,760,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,2017-02-01,2022-05-06,2.14,Awaiting Review
136,Черешня,1700,165,Фрукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1991-02-02,1995-02-10,1.03,Awaiting Review
137,Банан,2876,554,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2016-08-13,2024-04-11,1.02,In Stock
138,Пакеты для лекарств,4517,763,Товары для дома,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1992-05-03,1997-06-15,2.31,Delivered
139,Груша,7606,801,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2020-07-02,2030-07-12,1.09,Pending
140,Соевый напиток,8632,552,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",1992-01-25,2008-05-09,2.91,In Stock
141,Читинская,9216,9,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2012-04-02,2030-03-06,2.58,Shipping
142,BonAqua,3080,525,Напитки,Подходит для людей с чувствительным пищеварением.,1999-02-02,2022-11-04,0.44,Shipping
143,Фейхоа,6128,637,Фрукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1994-05-04,2006-01-12,2.48,Refunded
144,Творог,1653,435,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2019-01-04,2021-02-08,0.54,Temporarily Unavailable
145,Топлёное молоко,1161,602,Молочные продукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1998-01-02,2022-03-17,4.06,Returned
146,Гуляш,1325,94,Мясо,Помогает нормализовать артериальное давление и уровень холестерина.,2016-01-17,2022-01-01,0.38,Temporarily Unavailable
147,Алуштинская,8849,82,Напитки,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2020-07-05,2026-08-17,0.08,Temporarily Unavailable
148,Шаверма,1746,867,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-01-08,2004-04-01,0.94,New
149,Кесадилья с мясом,7934,101,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2018-02-10,2020-05-04,3.34,New
150,Пакеты для библиотеки,4193,756,Товары для дома,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2004-03-04,2025-01-03,4.54,Pending
151,Черный перец горошком,8638,5,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-03-01,2018-06-14,1.52,Temporarily Unavailable
152,Пакеты для Всемирного дня окружающей среды,6767,92,Товары для дома,Помогает улучшить работу мозга и повысить концентрацию внимания.,2008-05-05,2027-04-04,4.14,Sold
153,Пакеты для игрушек,6858,3,Товары для дома,Прошел строгий контроль качества на всех этапах производства.,2003-05-01,2025-05-08,0.63,Available for Pickup
154,Конфи,5933,68,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2009-02-01,2016-03-11,2.91,Out of Stock
